wellID, constituentID, mdl, pql, observed, sampleDate
8,0,NULL,NULL,<0.00102*,2022-05-25
9,0,NULL,NULL,<0.003,2016-03-02
9,0,NULL,NULL,<0.003,2016-04-20
9,0,NULL,NULL,<0.003,2016-06-08
9,0,NULL,NULL,<0.003,2016-08-30
9,0,NULL,NULL,<0.003,2016-10-18
9,0,NULL,NULL,0.00086(J),2017-01-31
9,0,NULL,NULL,n/a,2017-03-22
9,0,NULL,NULL,<0.003,2017-05-02
9,0,NULL,NULL,<0.003,2017-06-06
9,0,NULL,NULL,n/a,2017-09-13
9,0,NULL,NULL,<0.003*,2018-01-23
9,0,NULL,NULL,<0.003*,2018-05-02
9,0,NULL,NULL,n/a,2018-08-29
9,0,NULL,NULL,<0.003*,2018-11-27
9,0,NULL,NULL,<0.003*,2019-05-29
9,0,NULL,NULL,<0.003*,2019-10-01
9,0,NULL,NULL,<0.003*,2020-03-31
9,0,NULL,NULL,<0.003*,2020-09-02
9,0,NULL,NULL,<0.001015*,2021-05-25
9,0,NULL,NULL,<0.00102*,2021-10-27
9,0,NULL,NULL,<0.00102*,2022-05-25
10,0,NULL,NULL,n/a,2020-06-17
10,0,NULL,NULL,<0.003*,2020-09-02
10,0,NULL,NULL,<0.001015*,2021-05-25
10,0,NULL,NULL,<0.00102*,2021-10-26
10,0,NULL,NULL,<0.00102*,2022-05-24
11,0,NULL,NULL,<0.003,2016-03-02
11,0,NULL,NULL,<0.003,2016-04-19
11,0,NULL,NULL,<0.003,2016-06-08
11,0,NULL,NULL,<0.003,2016-08-31
11,0,NULL,NULL,<0.003,2016-10-19
11,0,NULL,NULL,0.000746(J),2017-01-31
11,0,NULL,NULL,n/a,2017-03-21
11,0,NULL,NULL,<0.003,2017-05-02
11,0,NULL,NULL,<0.003,2017-06-06
11,0,NULL,NULL,n/a,2017-09-13
11,0,NULL,NULL,<0.003*,2018-01-22
11,0,NULL,NULL,<0.003*,2018-05-01
11,0,NULL,NULL,n/a,2018-08-29
11,0,NULL,NULL,<0.003*,2018-11-27
11,0,NULL,NULL,<0.003*,2019-05-29
11,0,NULL,NULL,<0.003*,2019-10-01
11,0,NULL,NULL,<0.003*,2020-04-01
11,0,NULL,NULL,<0.003*,2020-09-02
11,0,NULL,NULL,<0.001015*,2021-05-11
11,0,NULL,NULL,<0.00102*,2021-10-26
11,0,NULL,NULL,<0.00102*,2022-05-25
12,0,NULL,NULL,0.00094(J),2019-07-31
12,0,NULL,NULL,n/a,2019-07-31
12,0,NULL,NULL,<0.003*,2019-10-01
12,0,NULL,NULL,n/a,2020-05-12
12,0,NULL,NULL,<0.003*,2020-09-01
12,0,NULL,NULL,<0.001015*,2021-05-25
12,0,NULL,NULL,<0.00102*,2021-10-26
12,0,NULL,NULL,<0.00102*,2022-05-24
12,0,NULL,NULL,n/a,2022-05-24
12,0,NULL,NULL,n/a,2022-05-24
13,0,NULL,NULL,<0.003,2016-03-02
